Country Name,Code,Income Group,WB Region,WHO Region ,Expected number of clubfoot cases - regional incidence ,population total 2022,"Birth rate, crude per 1000 2021",Expected births,Expected number of clubfoot cases - 1.24,Expected number of clubfoot cases - regional 
Oman,OMN,High income,Middle East & North Africa,Eastern Mediterranean,1.18,4576298,18.419,84290.83286,104.5206327,99.46318278
Pakistan,PAK,Lower middle income,South Asia,Eastern Mediterranean,1.18,235824862,27.519,6489664.377,8047.183828,7657.803965
Palau,PLW,Upper middle income,East Asia & Pacific,Western Pacific,0.86,18055,13.4,241.937,0.30000188,0.20806582
Panama,PAN,High income,Latin America & Caribbean,Americas,1.14,4408581,17.692,77996.61505,96.71580266,88.91614116
Papua New Guinea,PNG,Lower middle income,East Asia & Pacific,Western Pacific,0.86,10142619,25.514,258778.7812,320.8856886,222.5497518
Paraguay,PRY,Upper middle income,Latin America & Caribbean,Americas,1.14,6780744,20.627,139866.4065,173.434344,159.4477034
Peru,PER,Upper middle income,Latin America & Caribbean,Americas,1.14,34049588,17.622,600021.8397,744.0270813,684.0248973
Philippines,PHL,Lower middle income,East Asia & Pacific,Western Pacific,0.86,115559009,21.813,2520688.663,3125.653943,2167.79225
Poland,POL,High income,Europe & Central Asia,Europe,1.11,36821749,8.8,324031.3912,401.7989251,359.6748442
Portugal,PRT,High income,Europe & Central Asia,Europe,1.11,10409704,7.7,80154.7208,99.39185379,88.97174009
Puerto Rico,PRI,High income,Latin America & Caribbean,Americas,1.14,3221789,5.9,19008.5551,23.57060832,21.66975281
Qatar,QAT,High income,Middle East & North Africa,Eastern Mediterranean,1.18,2695122,9.816,26455.31755,32.80459376,31.21727471
Romania,ROU,High income,Europe & Central Asia,Europe,1.11,19047009,9.3,177137.1837,219.6501078,196.6222739
Russian Federation,RUS,Upper middle income,Europe & Central Asia,Europe,1.11,144236933,9.6,1384674.557,1716.99645,1536.988758
Rwanda,RWA,Low income,Sub-Saharan Africa,Africa,1.31,13776698,29.976,412970.2992,512.0831711,540.991092
Samoa,WSM,Lower middle income,East Asia & Pacific,Western Pacific,0.86,222382,27.254,6060.799028,7.515390795,5.212287164
San Marino,SMR,High income,Europe & Central Asia,Europe,1.11,33660,6.2,208.692,0.25877808,0.23164812
Sao Tome and Principe,STP,Lower middle income,Sub-Saharan Africa,Africa,1.31,227380,28.263,6426.44094,7.968786766,8.418637631
Saudi Arabia,SAU,High income,Middle East & North Africa,Eastern Mediterranean,1.18,36408820,17.473,636171.3119,788.8524267,750.682148
Senegal,SEN,Lower middle income,Sub-Saharan Africa,Africa,1.31,17316449,32.573,564048.6933,699.4203797,738.9037882
Serbia,SRB,Upper middle income,Europe & Central Asia,Europe,1.11,6664449,9.1,60646.4859,75.20164252,67.31759935
Seychelles,SYC,High income,Sub-Saharan Africa,Africa,1.31,119878,16.8,2013.9504,2.497298496,2.638275024
Sierra Leone,SLE,Low income,Sub-Saharan Africa,Africa,1.31,8605718,31.36,269875.3165,334.6453924,353.5366646
Singapore,SGP,High income,East Asia & Pacific,Western Pacific,0.86,5637022,8.6,48478.3892,60.11320261,41.69141471
Sint Maarten (Dutch part),SXM,High income,Latin America & Caribbean,Americas,1.14,42848,10.5,449.904,0.55788096,0.51289056
