Country Name,Country Code,population_total_2010,crude_birth_rate_2010,population_total_2012,crude_birth_rate_2012,population_total_2014,crude_birth_rate_2014,population_total_2016,crude_birth_rate_2016,population_total_2018,crude_birth_rate_2018,population_total_2020,crude_birth_rate_2020,population_total_2021,crude_birth_rate_2021,population_total_2022
Bahrain,BHR,1213645,15.845,1224939,15.955,1311134,15.953,1409661,15.181,1487340,13.818,1477469,12.621,1463265,11.926,1472233
Bangladesh,BGD,148391139,21.379,152090649,20.117,155961299,19.537,159784568,19.002,163683958,18.462,167420951,18.053,169356251,17.821,171186372
Barbados,BRB,274711,12.115,276197,11.603,277493,11.221,278649,11.009,279688,10.913,280693,10.859,281200,10.832,281635
Belarus,BLR,9483836,11.4,9446836,12.2,9448515,12.5,9469379,12.4,9438785,9.9,9379952,9.47,9302585,9.283,9228071
Belgium,BEL,10895586,11.9,11106932,11.5,11209057,11.2,11331422,10.8,11427054,10.4,11538604,9.9,11586195,10.2,11685814
Belize,BLZ,322106,22.533,337059,22.43,352335,22.097,367313,21.36,382066,21.015,394921,17.881,400031,17.976,405272
Benin,BEN,9445710,39.332,10014078,39.122,10614844,39.192,11260085,38.934,11940683,38.186,12643123,37.114,12996895,36.608,13352864
Bermuda,BMU,65124,12,64798,10.4,65138,9.3,64554,9.3,63918,8.3,63893,8.4,63764,7.7,63532
Bhutan,BTN,705516,19.541,721145,18.541,736357,17.743,749761,16.076,762096,13.789,772506,12.65,777486,12.482,782455
Bolivia,BOL,10223270,25.749,10569697,24.934,10916987,24.14,11263015,23.355,11606905,22.634,11936162,22.056,12079472,21.836,12224110
Bosnia and Herzegovina,BIH,3811088,9.492,3674374,9.211,3571068,8.768,3480986,8.953,3400129,9.067,3318407,8.611,3270943,8.42,3233526
Botswana,BWA,2091664,27.898,2175425,27.407,2260376,26.771,2352416,26.13,2451409,25.328,2546402,24.195,2588423,23.576,2630296
Brazil,BRA,196353492,15.492,199977707,14.939,203459650,14.753,206859578,14.051,210166592,14.133,213196304,13.078,214326223,12.883,215313498
British Virgin Islands,VGB,27556,9.863,28421,9.002,28971,9.643,29739,7.724,30335,7.114,30910,7.448,31122,7.634,31305
Brunei Darussalam,BRN,396053,17.128,406634,17.334,416656,16.942,425994,16.054,434274,15.05,441725,14.165,445373,13.8,449002
Bulgaria,BGR,7395599,10.2,7305888,9.5,7223938,9.4,7127822,9.1,7025037,8.9,6934015,8.5,6877743,8.5,6465097
Burkina Faso,BFA,16116845,43.206,17113732,42.336,18169842,40.965,19275498,38.977,20392723,37.294,21522626,36.085,22100683,35.541,22673762
Burundi,BDI,9126605,46.691,9795479,44.413,10494913,42.356,10903327,39.479,11493472,37.011,12220227,35.603,12551213,34.842,12889576
Cabo Verde,CPV,521212,21.565,533864,20.233,546076,19.539,558394,19.289,571202,17.821,582640,17.158,587925,16.951,593149
Cambodia,KHM,14363532,23.669,14786640,23.294,15210817,22.775,15624584,21.864,16025238,20.805,16396860,19.849,16589023,19.334,16767842
Cameroon,CMR,19878036,39.958,21032684,38.76,22299585,37.818,23711630,37.747,25076747,36.716,26491087,35.507,27198628,34.938,27914536
Canada,CAN,34004889,11.2,34714222,11,35437435,10.9,36109487,10.6,37065084,10.1,38007166,9.5,38226498,9.6,38929902
Cayman Islands,CYM,54074,14.8,56860,13.6,59559,12.5,62255,10.8,64884,9.9,67311,12.6,68136,12.4,68706
Central African Republic,CAF,4660067,43.237,4773306,43.006,4798734,41.921,4904177,41.209,5094780,41.831,5343020,42.175,5457154,42.68,5579144
Chad,TCD,11894727,48.764,12754906,48.019,13697126,46.998,14592585,45.456,15604210,44.37,16644701,43.849,17179740,43.357,17723315
Channel Islands,CHI,156933,11.13851134,158621,10.71737034,160912,10.29755394,163721,9.949853715,167259,9.661662452,171113,10.01092845,172683,10.11680362,174079
Chile,CHL,17004162,14.327,17341771,13.857,17687108,13.545,18083879,12.7,18701450,11.94,19300315,11.834,19493184,11.788,19603733
China,CHN,1337705000,11.9,1354190000,14.57,1371860000,13.83,1387790000,13.57,1402760000,10.86,1411100000,8.52,1412360000,7.52,1412175000
Colombia,COL,44816108,16.909,45782417,16.344,46677947,15.834,47625955,15.353,49276961,14.841,50930662,14.435,51516562,14.204,51874024
Comoros,COM,656024,33.924,684553,33.408,714612,32.594,746232,31.756,776313,30.859,806166,29.896,821625,29.398,836774
"Congo, Dem. Rep.",COD,66391257,44.526,70997870,44.646,76035588,43.992,81430977,43.411,87087355,42.989,92853164,42.311,95894118,42.049,99010212
"Congo, Rep.",COG,4437884,38.858,4713257,37.508,4944861,35.527,5186824,33.706,5441062,32.337,5702174,31.155,5835806,30.691,5970424
Costa Rica,CRI,4622252,16.04,4736593,15.483,4844288,14.852,4945205,14.145,5040734,13.562,5123105,12.152,5153957,11.873,5180829
Cote d'Ivoire,CIV,21120042,38.815,22010712,37.742,22995555,36.6,24213622,35.959,25493988,35.007,26811790,34.197,27478249,33.934,28160542
Croatia,HRV,4295427,9.8,4267558,9.8,4238389,9.3,4174349,9,4087843,9,4047680,8.9,3879000,9.4,3855600
Cuba,CUB,11290417,11.417,11309290,11.191,11332026,10.86,11342012,10.351,11328244,10.348,11300698,9.344,11256372,8.922,11212191
Curacao,CUW,148703,13.6,152088,13.4,155909,12.6,159664,11.2,159336,10.5,154947,8.7,152369,8.6,149996
Cyprus,CYP,1129686,12.045,1156556,11.762,1176995,11.163,1197881,11.419,1218831,10.843,1237537,10.583,1244188,10.313,1251488
Czechia,CZE,10474410,11.2,10510785,10.3,10525347,10.4,10566332,10.7,10629928,10.7,10697858,10.3,10505772,10.6,10672118
Denmark,DNK,5547683,11.4,5591572,10.4,5643475,10.1,5728010,10.8,5793636,10.6,5831404,10.4,5856733,10.8,5903037
Djibouti,DJI,919199,26.118,954297,25.06,989087,24.207,1023261,23.516,1057198,22.982,1090156,22.477,1105557,22.205,1120849
Dominica,DMA,68755,14.009,68888,13.516,69371,13.092,70075,13.167,70823,13.191,71995,13.301,72412,13.326,72737
Dominican Republic,DOM,9775755,22.038,10030882,21.454,10282115,20.867,10527592,20.258,10765531,19.762,10999664,18.78,11117873,18.432,11228821
Ecuador,ECU,14989585,21.892,15483883,21.004,15957994,19.339,16439585,18.224,17015672,17.658,17588595,17.037,17797737,16.817,18001000
"Egypt, Arab Rep.",EGY,87252413,27.16,91240376,27.978,95592324,28.416,99784030,25.913,103740765,24.562,107465134,23.051,109262178,22.558,110990103
El Salvador,SLV,6114034,19.428,6161289,19.151,6209526,18.809,6250510,17.566,6276342,16.536,6292731,16.188,6314167,16.025,6336392
Equatorial Guinea,GNQ,1094524,38.674,1193636,37.458,1295183,36.047,1398927,34.392,1502091,32.667,1596049,31.174,1634466,30.498,1674908
Eritrea,ERI,3147727,33.692,3252596,32.424,3323425,31.214,3365287,29.91,3445374,29.105,3555868,28.706,3620312,28.624,3684032
Estonia,EST,1331475,11.9,1322696,10.6,1314545,10.3,1315790,10.7,1321977,10.9,1329522,9.9,1330932,10,1348840
Eswatini,SWZ,1099920,30.083,1111444,29.294,1125865,28.423,1142524,27.105,1160428,25.718,1180655,24.615,1192271,24.134,1201670
Ethiopia,ETH,89237791,36.528,94451280,34.845,99746766,33.554,105293228,33.315,111129438,32.996,117190911,32.78,120283026,32.383,123379924
Faroe Islands,FRO,48410,13.2,48392,12.9,48465,13.2,49500,13.6,50955,13.4,52415,12.9,52889,12.8,53090
Fiji,FJI,905169,22.664,911059,21.925,915560,21.683,918371,21.05,918996,20.187,920422,19.628,924610,19.345,929766
Finland,FIN,5363352,11.4,5413971,11,5461512,10.5,5495303,9.6,5515525,8.6,5529543,8.4,5541017,9,5556106
France,FRA,65030575,12.9,65662240,12.6,66312067,12.4,66724104,11.8,67158348,11.3,67571107,10.9,67764304,10.9,67971311
French Polynesia,PYF,283788,17.38,286584,16.231,289873,15.58,293541,14.508,297606,13.777,301920,12.924,304032,12.759,306279
Gabon,GAB,1711105,33.177,1836705,32.718,1966855,31.622,2086206,30.362,2192012,29.004,2292573,27.695,2341179,27.142,2388992
"Gambia, The",GMB,1937275,41.084,2061014,40.136,2189019,38.486,2317206,36.59,2444916,34.924,2573995,33.719,2639916,33.257,2705992
Georgia,GEO,3786695,15.109,3728874,14.842,3719414,15.442,3727505,15.471,3726549,14.395,3722716,12.966,3708610,13.412,3712502
Germany,DEU,81776930,8.3,80425823,8.4,80982500,8.8,82348669,9.6,82905782,9.5,83160871,9.3,83196078,9.6,83797985
Ghana,GHA,25574719,33.004,26858762,32.885,28196358,31.834,29554303,30.527,30870641,29.025,32180401,28.038,32833031,27.548,33475870
Gibraltar,GIB,31262,11.959,32160,12.14,32452,12.706,32565,11.916,32648,11.242,32709,10.844,32669,10.714,32649
Greece,GRC,11121341,10.3,11045011,9.1,10892413,8.5,10775971,8.6,10732882,8.1,10698599,7.9,10569207,8,10426919
Greenland,GRL,56905,15.3,56810,13.9,56295,14.3,56186,14.8,56023,14.6,56367,14.8,56653,13.4,56661
Grenada,GRD,114039,17.927,115912,17.897,117972,17.743,119966,17.419,121838,16.92,123663,16.288,124610,15.961,125438
Guam,GUM,164905,21.169,166392,21.422,167543,19.615,168346,19.123,168678,17.02,169231,16.363,170534,16.376,171774
Guatemala,GTM,14259687,27.525,14781942,26.91,15306316,26.077,15827690,25.541,16346950,23.929,16858333,21.816,17109746,21.12,17357886
Guinea,GIN,10270728,39.369,10788692,38.44,11333365,37.891,11930985,37.396,12554864,35.931,13205153,34.944,13531906,34.425,13859341
Guinea-Bissau,GNB,1567220,38.427,1652717,37.945,1743309,36.472,1834552,34.502,1924955,32.657,2015828,31.605,2060721,31.087,2105566
Guyana,GUY,747932,21.705,743966,21.544,751115,21.423,759087,21.139,785514,20.77,797202,20.473,804567,20.298,808726
Haiti,HTI,9842880,27.527,10108539,26.595,10412740,25.771,10713849,25.254,11012421,24.579,11306801,23.936,11447569,23.498,11584996
Honduras,HND,8450933,25.392,8792367,24.111,9127846,23.123,9460798,22.44,9792850,21.895,10121763,21.353,10278345,21.071,10432860
"Hong Kong SAR, China",HKG,7024200,12.6,7150100,12.8,7229500,8.6,7336600,8.3,7452600,7.2,7481000,5.8,7413100,5,7346100
