Country Name,Income Group,WHO Region ,population total 2022,"Birth rate, crude per 1000 2021",Expected births,Expected number of clubfoot cases - 1.24,Expected number of clubfoot cases - regional 
Japan,High income,Western Pacific,125124989,6.6,825824.9274,1024.02291,710.2094376
"Korea, Rep.",High income,Western Pacific,51628117,5.1,263303.3967,326.4962119,226.4409212
Kuwait,High income,Eastern Mediterranean,4268873,10.41,44438.96793,55.10432023,52.43798216
Latvia,High income,Europe,1879383,9.2,17290.3236,21.44000126,19.1922592
Liechtenstein,High income,Europe,39327,9.6,377.5392,0.468148608,0.419068512
Lithuania,High income,Europe,2831639,8.3,23502.6037,29.14322859,26.08789011
Luxembourg,High income,Europe,653103,10.5,6857.5815,8.50340106,7.611915465
"Macao SAR, China",High income,Europe,695168,10.114,7030.929152,8.718352148,7.804331359
Malta,High income,Europe,531113,8.5,4514.4605,5.59793102,5.011051155
Monaco,High income,Europe,36469,5.9,215.1671,0.266807204,0.238835481
Netherlands,High income,Europe,17700982,10.2,180550.0164,223.8820203,200.4105182
New Caledonia,High income,Western Pacific,269220,14.3,3849.846,4.77380904,3.31086756
New Zealand,High income,Western Pacific,5124100,11.48,58824.668,72.94258832,50.58921448
Norway,High income,Europe,5457127,10.4,56754.1208,70.37510979,62.99707409
Oman,High income,Eastern Mediterranean,4576298,18.419,84290.83286,104.5206327,99.46318278
Panama,High income,Americas,4408581,17.692,77996.61505,96.71580266,88.91614116
Poland,High income,Europe,36821749,8.8,324031.3912,401.7989251,359.6748442
Portugal,High income,Europe,10409704,7.7,80154.7208,99.39185379,88.97174009
Puerto Rico,High income,Americas,3221789,5.9,19008.5551,23.57060832,21.66975281
Qatar,High income,Eastern Mediterranean,2695122,9.816,26455.31755,32.80459376,31.21727471
Romania,High income,Europe,19047009,9.3,177137.1837,219.6501078,196.6222739
San Marino,High income,Europe,33660,6.2,208.692,0.25877808,0.23164812
Saudi Arabia,High income,Eastern Mediterranean,36408820,17.473,636171.3119,788.8524267,750.682148
Seychelles,High income,Africa,119878,16.8,2013.9504,2.497298496,2.638275024
Singapore,High income,Western Pacific,5637022,8.6,48478.3892,60.11320261,41.69141471
Slovak Republic,High income,Europe,5431752,10.4,56490.2208,70.04787379,62.70414509
Slovenia,High income,Europe,2111986,9,19007.874,23.56976376,21.09874014
Spain,High income,Europe,47778340,7.1,339226.214,420.6405054,376.5410975
St. Martin (French part),High income,South-East Asia,31791,15.053,478.549923,0.593401905,0.861389861
Sweden,High income,Europe,10486941,11,115356.351,143.0418752,128.0455496
Switzerland,High income,Europe,8775760,10.3,90390.328,112.0840067,100.3332641
Trinidad and Tobago,High income,Americas,1531044,11.687,17893.31123,22.18770592,20.3983748
United Arab Emirates,High income,Eastern Mediterranean,9441129,10.307,97309.7166,120.6640486,114.8254656
United Kingdom,High income,Europe,66971395,10.1,676411.0895,838.749751,750.8163093
United States,High income,Americas,333287557,11,3666163.127,4546.042277,4179.425965
Uruguay,High income,Americas,3422794,10.473,35846.92156,44.45018274,40.86549058
Virgin Islands (U.S.),High income,Western Pacific,105413,11.8,1243.8734,1.542403016,1.069731124
